planet_name,star_system,distance_from_earth_ly,mass_earth_masses,radius_km,orbital_period_days,surface_temp_c,has_rings,number_of_moons,gravity_m_s2,escape_velocity_km_s,atmosphere_type,discovered_year,discovering_mission,habitable,water_presence,magnetic_field,axial_tilt_deg,rotation_period_hours,radiation_level
Uranus,Sol,800.61,1.75,67797.0,3993.3,342.1,False,79,21.71,9.84,None,1969,Voyager,False,Liquid,False,61.45,294.5,477.12
Mars,Sol,200.23,2.4,5593.0,2998.4,-105.9,False,14,6.69,34.74,Thick,1903,Galileo,True,Ice,True,38.45,795.38,185.72
Jupiter,Sol,167.57,65.8,45734.0,1477.5,127.4,True,27,21.01,15.96,None,1759,JWST,True,Vapor,True,53.24,493.03,414.7
Uranus,Proxima Centauri,104.66,11.11,6113.0,1556.9,224.1,True,94,12.32,14.46,Toxic,1804,Galileo,False,Ice,True,66.07,44.61,95.4
Earth,Sirius,636.47,32.5,26907.0,4356.1,99.8,False,22,13.06,1.68,Thick,1712,Hubble,False,None,True,46.35,764.2,403.59
Neptune,Proxima Centauri,706.51,101.72,56463.0,5977.0,-181.0,False,16,14.61,8.69,Thin,1767,Apollo,False,None,True,73.26,172.73,328.75
Jupiter,Sirius,31.68,240.8,30910.0,852.1,348.5,True,97,11.66,19.25,Thick,1952,Galileo,False,Vapor,False,64.99,633.32,96.37
Jupiter,Proxima Centauri,936.22,171.66,69806.0,9398.7,-192.6,False,12,3.92,7.9,Toxic,1852,JWST,True,None,False,55.36,90.24,151.25
Uranus,Proxima Centauri,52.07,153.85,39575.0,7563.6,333.3,False,13,9.98,59.17,None,1785,Cassini,False,Vapor,True,13.57,947.13,65.89
Venus,Betelgeuse,541.34,88.12,23160.0,5886.9,425.3,False,10,20.25,19.21,None,1946,JWST,False,Vapor,False,75.24,295.27,191.48
Earth,Proxima Centauri,709.09,279.53,16188.0,8293.0,103.0,False,27,20.31,8.69,Thin,1826,Galileo,True,Ice,True,84.23,230.33,101.82
Uranus,Alpha Centauri,870.98,119.16,25186.0,847.9,174.9,False,41,9.3,12.75,None,1615,Cassini,False,Vapor,True,12.33,133.49,322.0
Earth,Betelgeuse,714.12,26.22,26705.0,4794.5,133.9,True,95,14.34,35.67,None,1755,Hubble,True,None,False,43.94,946.27,497.25
Earth,Proxima Centauri,801.75,185.16,5741.0,6319.4,72.4,False,98,6.61,4.78,Toxic,1953,JWST,False,Liquid,False,23.3,713.34,6.0
Neptune,Sol,339.52,34.24,26501.0,8295.1,421.2,False,60,7.1,51.88,Thick,1710,Apollo,False,Liquid,False,67.91,742.95,270.46
Jupiter,Alpha Centauri,814.84,103.63,33032.0,7845.5,425.8,True,63,1.67,57.73,None,1600,Cassini,True,None,False,64.95,501.91,286.83
Mars,Alpha Centauri,80.21,152.27,50869.0,2806.8,35.1,True,30,27.01,15.56,Toxic,1640,Cassini,False,Liquid,False,12.68,477.35,457.1
Neptune,Alpha Centauri,894.83,262.28,46314.0,9411.8,230.5,True,80,7.11,27.56,Toxic,1647,JWST,True,Liquid,True,78.93,114.47,253.0
Neptune,Betelgeuse,547.64,148.11,49905.0,1287.2,448.8,True,72,7.6,2.31,Thin,2014,Galileo,True,Vapor,True,16.29,562.04,271.85
Earth,Proxima Centauri,817.32,210.71,1577.0,8757.6,473.4,False,9,9.11,38.8,Toxic,2019,Cassini,True,Liquid,True,71.75,250.68,235.83
Saturn,Proxima Centauri,452.37,297.85,16019.0,9710.9,156.3,False,7,4.69,25.42,Thin,1707,Hubble,False,Liquid,False,41.13,977.26,134.45
Jupiter,Sol,643.61,39.53,46656.0,1812.7,117.0,False,20,19.54,16.93,None,1760,JWST,False,Liquid,True,29.54,797.6,28.01
